#corpus	vsize	bsize	lrate	wordnet	human	human_dynamic
node2vec	50	366	0.005	0.7659	0.4675	0.5129
jcn-semcor-thresh01-near50	50	100	0.005	0.0	0.4357	0.4972
jcn-semcor-thresh01-near50	100	20	0.005	0.8366329516291408	0.42904577800454113	0.39530558670584953
jcn-semcor-thresh01-near50	100	50	0.005	0.8530643369131227	0.40913102942522844	0.4136831198915288
jcn-semcor-thresh01-near50	100	100	0.005	0.8058227840107907	0.4506	0.4802
deepwalk	100	166	0.005	0.7673086578000198	0.47376936	0.5298814784
node2vec	100	366	0.005	0.7708	0.4196	0.4836
transr	100	266	0.005	0.6458	0.3443	0.3571
transd	100	265	0.005	0.6575	0.3752	0.4140
jcn-semcor-thresh01-near50	200	2	0.005	0.8961530344587836	0.42407193006304217	0.4707154195399673
jcn-semcor-thresh01-near50	200	5	0.005	0.8856995640574972	0.3976978555339018	0.4371558801418136
jcn-semcor-thresh01-near50	200	10	0.005	0.8908689817948385	0.4469654951907581	0.4919814195672977
jcn-semcor-thresh01-near50	200	20	0.005	0.8748925005596053	0.4361875484146387	0.48235606710023277
jcn-semcor-thresh01-near50	200	25	0.005	0.8957869095142489	0.41647034901299745	0.4589280571668202
jcn-semcor-thresh01-near50	200	50	0.005	0.8735054870048881	0.41624361227946394	0.4482838288505458
jcn-semcor-thresh01-near50	200	100	0.005	0.8968003846325444	0.4543	0.5101
jcn-semcor-thresh01-near50	200	500	0.005	0.8858345099207774	0.4743763068293688	0.4852201153031919
jcn-semcor-thresh01-near50	200	1000	0.005	0.8733928628610157	0.43365576660316457	0.473676058732628
jcn-semcor-thresh01-near50	200	2000	0.005	0.8950162313329871	0.43947455061724805	0.44907728446931444
deepwalk	200	166	0.005	0.7777670028261086	0.4728061098	0.5300038816
node2vec	200	366	0.005	0.7337	0.4039	0.4505
transr	200	266	0.005	0.6575	0.4204	0.4056
transd	200	265	0.005	0.6097	0.3287	0.4153
jcn-semcor-thresh01-near50	300	1	0.005	0.916455338987427	0.4390475429715367	0.4987673635666381
jcn-semcor-thresh01-near50	300	2	0.005	0.9139412106237078	0.4499877985569069	0.48876086011388287
jcn-semcor-thresh01-near50	300	5	0.005	0.9057248477208063	0.45040966740537874	0.5261692855823461
jcn-semcor-thresh01-near50	300	10	0.005	0.9046083149098132	0.4316837277732113	0.46551689916068834
jcn-semcor-thresh01-near50	300	20	0.001	0.923062019536824	0.4479555972074941	0.49377403851233104
jcn-semcor-thresh01-near50	300	20	0.005	0.904325038275983	0.44703138553955163	0.48783478865805585
jcn-semcor-thresh01-near50	300	25	0.005	0.9067941982258998	0.4630495243212053	0.515931131755372
jcn-semcor-thresh01-near50	300	50	0.005	0.9174166759312733	0.4348176222541172	0.48204065679187835
jcn-semcor-thresh01-near50	300	100	0.005	0.9095700533196353	0.5007	0.5494
jcn-semcor-thresh01-near50	300	100	0.001	0.9054516453115677	0.443848540460436	0.48878854872587385
jcn-semcor-thresh01-near50	300	500	0.005	0.9134131059591761	0.42831734841798624	0.49800141432203426
jcn-semcor-thresh01-near50	300	1000	0.005	0.9145297606357894	0.46071973989528975	0.49983435453037267
jcn-semcor-thresh01-near50	300	2000	0.005	0.923402430835526	0.45445698817345975	0.4719724164929073
deepwalk	300	166	0.005	0.7753830675664873	0.4678583011	0.5332165167
node2vec	300	366	0.005	0.7256	0.426	0.4616
transr	300	266	0.005	0.6546	0.3940	0.3864
transd	300	265	0.005	0.6421	0.3663	0.3811
jcn-semcor-thresh01-near50	600	20	0.005	0.9376191725170872	0.47656961861239155	0.5284922359057314
jcn-semcor-thresh01-near50	600	50	0.005	0.9370026543452017	0.476491642949932	0.5303820473913539
deepwalk	600	166	0.005	0.7786731346440676	0.470653035	0.538031016
node2vec	600	366	0.005	0.7618	0.467	0.5105
transr	600	266	0.005	0.6748	0.3959	0.3913
transd	600	265	0.005	0.6300	0.3520	0.4203
jcn-semcor-thresh01-near50	600	100	0.005	0.9350462236807521	0.4894	0.5485
